compiler,model,opt,bug,iterations,bug_count,mu,sigma,size_bytes,mem_reads
gcc,0,O0,b4,100,0,0.000,0.000,16824,8
gcc,0,O1,b4,100,0,0.000,0.000,16832,2
gcc,0,O2,b4,100,100,1.000,0.000,16832,2
gcc,0,O3,b4,100,100,1.000,0.000,16832,2
gcc,1,O0,b4,100,0,0.000,0.000,16824,11
gcc,1,O1,b4,100,0,0.000,0.000,16832,2
gcc,1,O2,b4,100,0,0.000,0.000,16832,1
gcc,1,O3,b4,100,0,0.000,0.000,16832,1
clang,0,O0,b4,100,0,0.000,0.000,16488,10
clang,0,O1,b4,100,100,1.000,0.000,16536,2
clang,0,O2,b4,100,100,1.000,0.000,16536,2
clang,0,O3,b4,100,100,1.000,0.000,16536,2
clang,1,O0,b4,100,0,0.000,0.000,16488,11
clang,1,O1,b4,100,0,0.000,0.000,16544,2
clang,1,O2,b4,100,0,0.000,0.000,16544,1
clang,1,O3,b4,100,0,0.000,0.000,16544,1
